y_actual,y_pred_point,low_90,high_90,covered_90,width_90,low_85,high_85,covered_85,low_80,high_80,covered_80
3225000.0,2906273.634452721,1465743.3099651104,5227160.868210926,True,3761417.5582458153,1402215.3542937795,4545358.716927613,True,1781026.4468720113,4159884.7420767955,True
55200000.0,63097823.19846428,27910619.38858644,143492672.251166,True,115582052.86257955,31207429.16481886,137336263.0856123,True,33992793.889878,137784418.064302,True
75000000.0,82931023.3872748,33382803.924396165,247478690.19373676,True,214095886.2693406,41804855.25831901,237845573.9104243,True,52861486.492419735,261418273.6306282,True
72923000.0,111361891.14225797,36824849.79586507,165224302.95713967,True,128399453.16127461,43706118.56929569,158928208.26018456,True,52925669.75399918,143922733.29638517,True
82000000.0,67118525.0023697,45431354.87696506,267328426.35690427,True,221897071.47993922,52217355.468372494,247823598.83179787,True,51428755.03010657,260922482.69410455,True
62895200.0,77166630.96206126,42531148.703605995,128307509.67255414,True,85776360.96894814,48980803.03156434,114706933.40879776,True,57085013.50500055,113242367.48371914,True
48234780.0,47913751.42810715,22789293.662004903,97945250.35749063,True,75155956.69548573,26274230.5376686,97060583.62247273,True,28476661.395636514,87981562.7001429,True
2256000.0,4744246.7775288215,1219778.5921832968,14762138.063936358,True,13542359.47175306,1248088.6284095568,12094839.201188717,True,1279626.5170274463,11956782.464542095,True
2850000.0,2808461.029620764,1692597.6437408577,7490727.585756127,True,5798129.942015269,1873089.14346746,7310082.254738604,True,2014670.3777130777,6548843.268603882,True
27444440.0,28291145.631977167,12212738.911486642,58242176.51823747,True,46029437.60675083,13151641.56774821,53842331.67603807,True,14279165.516851377,50053985.32438173,True
35836000.0,49480754.98687418,28661972.31413308,64125097.97220292,True,35463125.658069834,35554178.26161299,64274742.81813172,True,35784281.43373569,61417944.24833387,True
51999999.0,48468236.275551654,17282169.340544794,85484323.3333961,True,68202153.99285132,18160573.41026138,74668998.61475027,True,21717057.223034218,74570727.00361474,True
2175555.0,3519558.3119949796,746085.7463804602,8022578.551455383,True,7276492.805074923,967946.5614315475,6919334.273535927,True,1183350.943318103,6375741.383337693,True
6742000.0,5386217.005124796,3261811.8184722676,8197231.727167157,True,4935419.908694889,3584115.638213107,7765849.500533703,True,3744450.8282791083,7740351.191695612,True
5179000.0,5180363.982200021,2840757.89971003,7142642.423480173,True,4301884.523770142,2813211.0663044164,6809262.639638896,True,3105851.3674486913,7047516.9491102025,True
3599999.0,3507257.0679548844,806523.9379501637,7765678.5002777,True,6959154.562327536,943336.2034668984,6294644.822616682,True,1204138.4816292531,5603297.463447571,True
14697000.0,6235502.255014958,816647.9633347967,19148271.839926887,True,18331623.876592092,826869.6781377608,15201366.485847201,True,450131.01598812686,12894457.715073232,False
5571000.0,5480844.648666985,2715366.212412384,9691112.68400208,True,6975746.471589696,3200313.10557252,8573211.331696585,True,3613266.6979052485,8089463.237686422,True
2189999.0,2974085.6166260247,945272.4049801602,7386446.963579295,True,6441174.558599135,986894.4143088848,7135115.985644252,True,1166762.6151667915,6421187.532890199,True
